disease,decimalLongitude,decimalLatitude
Zika,79.33,13.27
Zika,109.15,13.8
Zika,105.85,20.57
Zika,93.91,24.66
Zika,98.51,3.1
Zika,107.03,17.05
Zika,105.81,19.57
Zika,73.64,10.07
Zika,99.28,14.28
Zika,106.96,10.96
Zika,88.36,22.53
Zika,109.06,14.65
Zika,108.02,16.27
Zika,106.47,17.92
Zika,106.63,17.46
Zika,108.43,11.22
Zika,107.03,20.78
Zika,74.53,20.55
Zika,108.74,15.33
Zika,119.88,-0.92
Zika,109.15,11.92
Zika,74.02,15.4
Zika,100.06,7.02
Zika,102.06,15.07
Zika,100.07,13.07
Zika,99.05,15.06
Zika,110.89,-7.11
Zika,99.74,19.55
Zika,100.03,15.03
Zika,101.07,14.09
Zika,100.58,13.71
Zika,120.59,-8.51
Zika,76.64,12.3
Zika,76.92,8.48
Zika,120.85,22.12
Zika,106.63,-6.2
Zika,76.4,10.15
Zika,106.24,-6.64
Zika,115.43,-3.17
Zika,106.15,-6.07
Zika,107,-6.81
Zika,105.68,-6.58
Zika,84.72,27.31
Zika,69.17,34.53
Zika,117.27,-8.6
Zika,83.29,17.7
Zika,105.28,21.35
Zika,98.2,17.3
Zika,113.61,-7.1
Zika,105.92,9.58
Zika,106.35,21.88
Zika,100.35,-0.94
Zika,76.77,30.73
Zika,108.55,-6.76
Zika,73.78,15.87
Zika,77.5,10.01
Zika,117.01,-9.08
Zika,78.05,15.83
Zika,85.02,20.17
Zika,73.36,16.64
Zika,73.22,17.29
Zika,102.89,13.8
Zika,80.28,13.08
Zika,106.16,13.85
Zika,104.98,11.4
Zika,86.66,20.58
Zika,73.98,17.55
Zika,100.42,6.52
Zika,73.4,17.72
Zika,72.82,21.2
Zika,105.45,12
Zika,78.16,12.13
Zika,104.75,11.87
Zika,79.23,12.24
Zika,103.53,10.61
Zika,74.28,18.47
Zika,120.34,15.92
Zika,84.81,22.23
Zika,72.54,23.12
Zika,79.15,12.81
Zika,121.12,16.25
Zika,121.05,15.6
Zika,105.85,20.12
Zika,106.34,9.93
Zika,107.79,11.53
Zika,122.97,-8.34
Zika,105.79,10.03
Zika,105.09,10
Zika,106.36,11.26
Zika,106.5,10.74
Zika,106.12,10.4
Zika,105.45,9.23
Zika,104.85,9.53
Zika,105.12,10.71
Zika,80.63,7.29
Zika,106.22,-2.33
Zika,77.73,11.35
Zika,105.64,10.46
Zika,90.62,26.18
Zika,95.48,27.16
Zika,94.63,26.98
Zika,90.23,25.52
Zika,92.2,25.43
Zika,92.75,11.63
Zika,89.98,26.02
Zika,91.79,22.43
Zika,91.75,26.18
Zika,94.11,27.24
Zika,94.91,27.48
Zika,76.33,29.15
Zika,80.21,6.05
Zika,77.98,10.36
Zika,119.61,-4.48
Zika,103.04,4.91
Zika,99.28,8.55
Zika,106.15,21.03
Zika,71.15,34.1
Zika,78.17,29.97
Zika,127.84,1.16
Zika,111.83,2.29
Zika,74.85,12.87
Zika,72.61,25.35
Zika,119.41,-5.15
Zika,82.35,23.19
Zika,109.66,-7.67
Zika,119.34,-3.42
Zika,75.5,21.4
Zika,98.56,16.71
Zika,73.2,24.48
Zika,72.4,23.6
Zika,74.01,22.31
Zika,71.67,22.71
Zika,72.14,21.77
Zika,72.95,23.6
Zika,73.2,22.3
Zika,72.86,22.69
Zika,70.6,22.43
Zika,70.58,21.7
Zika,71.92,23.29
Zika,72.56,22.05
Zika,73.98,20.16
Zika,74.58,18.88
Zika,75.4,19.85
Zika,76.56,19.48
Zika,74.87,18.22
Zika,75.55,18.55
Zika,102.25,14.51
Zika,77.12,20.75
Zika,109.18,19.75
Zika,105.71,-4.66
Zika,77.02,28.46
Zika,101.68,3.12
Zika,109.68,19.91
Zika,112.08,24.57
Zika,110.28,25.28
Zika,110.17,19.51
Zika,96.17,16.81
Zika,79.86,6.92
Zika,143.05,-3.63
Zika,101.25,3.35
Zika,95.45,20.73
Zika,97.04,20.78
Zika,97.75,22.94
Zika,74.57,16.86
Zika,80.2,21.46
Zika,76.03,18.17
Zika,79.16,20.34
Zika,75.9,17.67
Zika,77.51,21.25
Zika,78.6,20.75
Zika,78.18,21.65
Zika,78.14,20.4
Zika,79.66,21.17
Zika,79.34,21.53
Zika,73.81,18.62
Zika,76.18,20.53
Zika,73.16,19.21
Zika,73.93,16.92
Zika,77.02,28.99
Zika,73.77,18.17
Zika,72.73,19.99
Zika,77.72,24.57
Zika,77.14,20.1
Zika,77.31,19.15
Zika,95.14,22.11
Zika,94.9,20.14
Zika,96.5,17.33
Zika,94.73,16.77
Zika,100.85772,14.66424
Zika,118,5
Zika,118.6,4.47
Zika,116.84,6.9
Zika,79.78,12.77
Zika,131.29,-0.89
Zika,140.42,-8.52
Zika,140.51,-2.57
Zika,136.11,-1.19
Zika,134.05,-0.89
Zika,76.92,15.14
Zika,81.79,17.01
Zika,78.45,11.17
Zika,83.01,25.31
Zika,27.97,38.24
Zika,67.01,24.85
Zika,99.43,18.23
Zika,77.61,28.49
Zika,78.13,9.93
Zika,99.22,17.61
Zika,147.19,-9.48
Zika,98.38,7.88
Zika,104.81,-2.95
Zika,99.35,7.57
Zika,99.96,8.43
Zika,100.3,7.87
Zika,99.88,12.55
Zika,98.64,9.97
Zika,73.85,26.58
Zika,112.16,-7.58
Zika,101.26,12.67
Zika,126.95,37.46
Zika,105.81,18.35
Zika,102.87,-3.26
Zika,101.86,17.12
Zika,100.82,3.87
Zika,101.11,15.66
Zika,102.21,15.67
Zika,98.34,8.86
Zika,99.53,16.46
Zika,103.37,16.4
Zika,121.72,17.62
Zika,99.37,9.03
Zika,77.6,13.04
Zika,99.11,19.85
Zika,79.78,11.73
Zika,100.14,18.15
Zika,79.91,27.89
Zika,102.32,-3.83
Zika,125.09,7.02
Zika,109.62,-6.88
Zika,123.31,9.31
Zika,101.59,14.97
Zika,102.69,15.58
Zika,139.62,35.47
Zika,121.48,13.04
Zika,123.6,-10.19
Zika,112.95,-2.53
Zika,111.92,-8.04
Zika,102.51,12.23
Zika,103.82,15.67
Zika,111.53,-7.66
Zika,115.19,-8.64
Zika,116.11,-8.59
Zika,114.61,-8.31
Zika,122.51,-3.98
Zika,99.12,10.5
Zika,78,27.23
Zika,102.84,14.79
Zika,103.9,16.63
Zika,99.8,16
Zika,110.88,-7.56
Zika,102.78,16.32
Zika,103.47,16.9
Zika,100.51,7.25
Zika,110.42,-7.07
Zika,95.32,5.57
Zika,104.2,15.13
Zika,114.24148,22.42323
Zika,136.69296,35.39682
Zika,73.99,31.08
Zika,121.61,24.02
Zika,75.99,19.52
Zika,74.172,32.096
Zika,72.84,32.04
Zika,73.661,31.694
Zika,74.07,32.58
Zika,72.34,31.3
Zika,73.33,33.47
Zika,72.71,32.78
Zika,73.72,32.95
Zika,72.58,30.88
Zika,120.31,23.9
Zika,115.04,5.04
Zika,114.19,4.58
Zika,93.73,26.94
Zika,113.33,23.43
Zika,92.59,26.49
Zika,93.17,26.66
Zika,118.31,24.41
Zika,26.32,40.92
Zika,113.82,23.42
Zika,126.56,33.24
Zika,121.43,23.33
Zika,121,24.81
Zika,35.38,33.53
Zika,84.23,27.94
Zika,120.68,23.11
Zika,35.72,34.21
Zika,120.06,29.37
Zika,121.08,22.79
Zika,84.9,27.96
Zika,120.86,23.61
Zika,76.13,11.69
Zika,85.33,27.7
Zika,120.58,24.31
Zika,105.05,17.84
Zika,75.62,11.97
Zika,75.81,11.16
Zika,121.77,24.67
Zika,104.95,17.1
Zika,101.84,5.7
Zika,76.43,9.63
Zika,75.1,12.4
Zika,101.55,4.26
Zika,126.4474,36.74645
Zika,34.91,32.02
Zika,76.96,9.26
Zika,129.86,32.79
Zika,121.76,25.13
Zika,106.39,20.29
Zika,34.95,32.59
Zika,35.17,33.02
Zika,76.55,10.95
Zika,116.19,39.95
Zika,78.59,9.54
Zika,114.28,30.57
Zika,135.57,34.91
Zika,139.67,35.94
Zika,106.91,-7.26
Zika,106.46,-7.35
Zika,116.10121,23.46915
Zika,115.40588,23.82241
Zika,116.16394,22.96724
Zika,98.54342,18.54706
Zika,137.14,36.76
Zika,74.69,13.62
Zika,121.32,30.18
Zika,136.52,34.74
Zika,127.15,35.82
Zika,36.4,34.39
Zika,82.04,20.97
Zika,106.44,26.54
Zika,99.08,9.85
Zika,109.19,27.73
Zika,105.61,27.14
Zika,72.93,18.54
Zika,107.19,27.95
Zika,105.44,25.1
Zika,108.92,27.24
Zika,105.67,25.98
Zika,103.86,13.37
Zika,126.21,43.68
Zika,140.05,39.39
Zika,140.48,37.75
Zika,140.34,38.25
Zika,141.15,39.7
Zika,140.03,40.2
Zika,141.89,39.27
Zika,141.29,38.43
Zika,139.93,37.49
Zika,141.13,39.13
Zika,124.2,24.41
Zika,139.84,38.91
Zika,128.17,26.74
Zika,109.73,1.64
Zika,71.06,33.53
Zika,141.3,-6.12
Zika,86.03,27.05
Zika,129.92,33.53
Zika,103.48,29.6
Zika,118.5,9.72
Zika,127.73,26.26
Zika,103,5.36
Zika,134.98,34.8
Zika,110.35,1.55
Zika,104.07,30.67
Zika,103.78,1.29
Zika,76.79,11.35
Zika,113.08,23
Zika,124,12.82
Zika,112.58,33.03
Zika,117.53,0.5
Zika,116.86,-1.23
Zika,115.27,-2.28
Zika,117,-0.28
Zika,116.43,6.35
Zika,118.09,5.87
Zika,115.93,5.74
Zika,116.16,5.34
Zika,115.59,5.12
Zika,114.65,4.81
Zika,119.05,5.07
Zika,99.81715,18.50734
Zika,99.95149,9.43881
Zika,99.80425,18.98456
Zika,100.71094,18.47245
Zika,100.79181,18.95957
Zika,97.96575,18.24239
Zika,101.39906,14.42709
Zika,98.82984,14.41211
Zika,97.23334,24.26653
Zika,114.5833,-3.3333
Zika,116.86,23.85
Zika,116.48,33.87
Zika,90.49,26.87
Zika,113.31256,38.19158
Zika,108.43,27.05
Zika,89.39,26.86
Zika,102.91184,29.78098
Zika,114.4428,37.78707
Zika,117.6,3.3
Zika,106.23662,30.69699
Zika,106.29609,33.90892
Zika,118.8833,-2.66667
Zika,113.11031,35.53848
Zika,102.48,23.69
Zika,111.06344,35.7381
Zika,120.12,30.28
Zika,98.92,8.06
Zika,123.89,10.3
Zika,121.48,31.24
Zika,102.22,-2.11
Zika,119.3,26.07
Zika,113.02,25.81
Zika,107.06728,34.06188
Zika,109.11,21.48
Zika,136.56,-4.76
Zika,110.34,20.04
Zika,101.59,2.66
Zika,116.67,23.37
Zika,105.96521,32.15583
Zika,108.88,34.26
Zika,103.9,1.73
Zika,109.35535,34.90318
Zika,102.11,12.61
Zika,142.72,-9.15
Zika,113.41964,36.46647
Zika,105.79259,33.62212
Zika,113.83,3.5
Zika,130.99,30.59
Zika,146.99,-6.72
Zika,125.22,-9
Zika,113.65,34.77
Zika,107.98,26.59
Zika,106.6785,34.80758
Zika,123.68463,42.29615
Zika,113.62189,37.59671
Zika,121.07,-8.65
Zika,107.43,25.33
Zika,120.34387,41.66559
Zika,125.58,-8.57
Zika,108.26,23.17
Zika,110.36236,35.38756
Zika,73.546,34.386
Zika,102.24951,16.63616
Zika,71.574,29.184
Zika,145.05,-7.65
Zika,100.95034,13.20665
Zika,103.38381,15.06021
Zika,100.25569,14.26148
Zika,101.30242,6.25942
Zika,144.66667,-5.91667
Zika,137.89999,-1.48
Zika,103.35,3.6
Zika,146.6833,-7.7833
Zika,147.4167,-6.4
Zika,143.58333,-3.58333
Zika,146.6667,-8.5
Zika,148.39999,-8.65
Zika,146.18333,-8.18333
Zika,144.06667,-4.06667
