disease,decimalLongitude,decimalLatitude
Chikungunya,-15.91716,16.01724
Chikungunya,9.88352,5.46807
Chikungunya,20.01682,7.20004
Chikungunya,19.18349,6.98337
Chikungunya,36.83415,7.66785
Chikungunya,-2.95495,9.31142
Chikungunya,-4.82556,5.87861
Chikungunya,33.89445,0.31972
Chikungunya,13.68333,11.5
Chikungunya,35.18413,-0.16936
Chikungunya,11.51689,3.86822
Chikungunya,28.86725,-2.5023
Chikungunya,36.03415,0.19728
Chikungunya,34.73412,-0.56932
Chikungunya,18.33365,0.06415
Chikungunya,-10.04979,6.18354
Chikungunya,25.23383,0.43078
Chikungunya,3.83255,7.38374
Chikungunya,-10.83345,7.98348
Chikungunya,25.46717,3.46386
Chikungunya,16.9333,-12.3833
Chikungunya,8.316666,4.966667
Chikungunya,9.28264,5.71724
Chikungunya,4.01588,9.16691
Chikungunya,32.83333,2.71667
Chikungunya,6.36593,4.684
Chikungunya,7.44927,6.98378
Chikungunya,8.91597,4.43402
Chikungunya,43.23,11.48
Chikungunya,37,-1.46667
Chikungunya,14.25,-17.5
Chikungunya,8.73263,7.73371
Chikungunya,13.08269,11.85002
Chikungunya,7.31593,11.40004
Chikungunya,12.48269,9.23358
Chikungunya,6.38259,8.58363
Chikungunya,3.33254,7.18376
Chikungunya,5.23257,7.28375
Chikungunya,7.6826,13.01657
Chikungunya,6.21592,7.56706
Chikungunya,10.33264,12.29997
Chikungunya,3.38254,8.66695
Chikungunya,49.674356,-16.04217
Chikungunya,7.71594,11.08341
Chikungunya,6.14925,6.75047
Chikungunya,8.89929,9.86685
Chikungunya,4.57,7.77
Chikungunya,13.1,-0.5
Chikungunya,4.21,36.64
Chikungunya,45.17,-12.96
Chikungunya,47.44,-18.82
Chikungunya,47.94,-18.41
Chikungunya,48.45,-13.68
Chikungunya,16.05,3.52
Chikungunya,47.11,-18.32
Chikungunya,16.1,2.7
Chikungunya,49.39,-18.14
Chikungunya,47.24,-20.53
Chikungunya,46.33,-15.7
Chikungunya,9.59,0.99
Chikungunya,13.17,3.98
Chikungunya,55.45,-4.62
Chikungunya,11.22,4.75
Chikungunya,47.09,-21.45
Chikungunya,57.45,-20.4
Chikungunya,55.65,-21.37
Chikungunya,48.35,-21.22
Chikungunya,63.38,-19.72
Chikungunya,11.98,-1.65
Chikungunya,11.49,6.09
Chikungunya,9.57,4.5
Chikungunya,10.15,5.96
Chikungunya,11.98,2.93
Chikungunya,9.19,4.02
Chikungunya,55.34,-20.92
