disease,decimalLongitude,decimalLatitude
YellowFever,5.23257,7.28375
YellowFever,8.91597,4.43402
YellowFever,9.28264,5.71724
YellowFever,9.41598,4.634
YellowFever,6.36593,4.684
YellowFever,-1.55676,12.24185
YellowFever,-12.3665,12.01665
YellowFever,20.35015,8.08337
YellowFever,36.68411,-8.13536
YellowFever,-4.43354,11.2176
YellowFever,-3.66667,9.6
YellowFever,-4.76688,10.63432
YellowFever,-2.2167,11.7667
YellowFever,32.88401,-2.53586
YellowFever,23.11657,-13.56806
YellowFever,10.19931,11.83335
YellowFever,8.67425,9.08458
YellowFever,-1.08309,5.20282
YellowFever,26.65053,-4.45213
YellowFever,8.14929,5.98388
YellowFever,4.18254,12.46661
YellowFever,3.03254,6.7338
YellowFever,8.53261,12.04999
YellowFever,7.8326,12.54994
YellowFever,-11.78847,7.69662
YellowFever,7.44927,6.98378
YellowFever,7.59928,5.53392
YellowFever,7.6326,11.78334
YellowFever,7.18259,12.74992
YellowFever,8.73263,7.73371
YellowFever,6.14925,6.75047
YellowFever,6.21592,7.56706
YellowFever,7.71594,11.08341
YellowFever,10.33264,12.29997
YellowFever,7.16593,9.16691
YellowFever,14.25,-17.5
YellowFever,9.74931,8.18367
YellowFever,12.48269,9.23358
YellowFever,49.67436,-16.04217
YellowFever,8.89929,9.86685
YellowFever,3.33254,7.18376
YellowFever,7.6826,13.01657
YellowFever,3.38254,8.66695
YellowFever,6.38259,8.58363
YellowFever,13.08269,11.85002
YellowFever,4.23255,8.13367
YellowFever,4.01588,9.16691
YellowFever,7.31593,11.40004
YellowFever,30.85,-29.76667
